Z6519,93000Z651910,乌鲁木齐,伊宁,WAR,YMR
Z6520,95000Z652010,伊宁,乌鲁木齐,YMR,WAR
Z6541,33000Z654100,包头,临河,BTC,LHC
Z6542,33000Z654200,临河,包头,LHC,BTC
Z6705,42000Z670807,襄阳,武昌,XFN,WCN
Z6706,39000Z670608,武昌,襄阳,WCN,XFN
Z6707,39000Z670608,武昌,襄阳,WCN,XFN
Z6708,42000Z670807,襄阳,武昌,XFN,WCN
Z6801,88000Z680102,西宁,拉萨,XNO,LSO
Z7805,28000Z780502,大同,太原,DTV,TYV
Z7806,27000Z780602,太原,大同,TYV,DTV
Z7835,27000Z783502,太原,吕梁,TYV,LHV
Z7836,27000Z783600,吕梁,太原,LHV,TYV
Z7837,27000Z783700,太原,柳林南,TYV,LKV
Z7838,27000Z783801,柳林南,太原,LKV,TYV
Z8303,80000Z830303,曲靖,昆明,QJM,KMM
Z8304,80000Z830403,昆明,曲靖,KMM,QJM
Z8306,80000Z830603,昆明,曲靖,KMM,QJM
Z8307,80000Z830702,曲靖,昆明,QJM,KMM
Z8308,80000Z830804,昆明,曲靖,KMM,QJM
Z8309,80000Z830903,曲靖,昆明,QJM,KMM
Z8310,80000Z831002,昆明,曲靖,KMM,QJM
Z8311,80000Z831102,曲靖,昆明,QJM,KMM
Z8312,80000Z831203,昆明,曲靖,KMM,QJM
Z8313,80000Z831303,曲靖,昆明,QJM,KMM
Z8315,80000Z831501,曲靖,昆明,QJM,KMM
Z8316,80000Z831602,昆明,曲靖,KMM,QJM
Z8317,80000Z831700,曲靖,昆明,QJM,KMM
Z8318,80000Z831802,昆明,曲靖,KMM,QJM
Z8319,80000Z831902,曲靖,昆明,QJM,KMM
Z8320,80000Z832001,昆明,曲靖,KMM,QJM
Z8321,80000Z832100,曲靖,昆明,QJM,KMM
Z8322,80000Z832200,昆明,曲靖,KMM,QJM
Z8801,88000Z880109,拉萨,日喀则,LSO,RKO
Z8802,88000Z880209,日喀则,拉萨,RKO,LSO
Z8803,88000Z880306,拉萨,日喀则,LSO,RKO
Z8804,88000Z880406,日喀则,拉萨,RKO,LSO
Z9877,88000Z987703,西宁,德令哈,XNO,DHO
Z9878,88000Z987803,德令哈,西宁,DHO,XNO
C1001,11000C100102,长春,延吉西,CCT,YXL
C1002,1c000C100205,延吉西,长春,YXL,CCT
C1003,11000C100302,长春,珲春,CCT,HUL
C1004,1c000C100402,延吉西,长春,YXL,CCT
C1005,11000C100501,长春,延吉西,CCT,YXL
C1006,1c000C100603,延吉西,长春,YXL,CCT
C1007,11000C100703,长春,延吉西,CCT,YXL
C1008,1c000C100801,珲春,长春,HUL,CCT
C1009,11000C100904,长春,珲春,CCT,HUL
C1010,1c000C101001,延吉西,长春,YXL,CCT
C1011,11000C101101,长春,延吉西,CCT,YXL
C1012,1c000C101202,珲春,长春,HUL,CCT
C1013,11000C101302,长春,珲春,CCT,HUL
C1014,1c000C101401,珲春,长春,HUL,CCT
